time,receiver,squawk,alt,lat,lon,course,sog,roc,network
1394210550,WMSA2,2157,1500,2.7983,101.689,328,183,,fr24-main
1394210557,WMSA2,2157,1575,2.80333,101.686,327,188,,fr24-main
1394210563,WMSA2,2157,1650,2.80838,101.683,327,196,,fr24-main
1394210567,WMSA2,2157,,,,327,200,896,fr24-main
1394210570,WMSA2,2157,1725,2.81292,101.68,327,201,,fr24-main
1394210576,WMSA2,2157,1825,2.81841,101.676,327,207,,fr24-main
1394210585,WMSA2,2157,1950,2.82454,101.673,327,210,,fr24-main
1394210606,WMKK,2157,2350,2.84436,101.660405,333,235,,flightaware
1394210608,WMSA2,2157,2375,2.84732,101.659,336,237,,fr24-main
1394210615,WMSA2,2157,2475,2.85393,101.657,346,240,,fr24-main
1394210621,WMSA2,2157,2600,2.86138,101.657,353,242,1280,fr24-main
1394210634,WMKK,2157,3100,2.875076,101.660684,24,257,,flightaware
1394210642,WMSA2,2157,3350,2.88317,101.664,24,258,,fr24-main
1394210648,WMSA2,2157,3675,2.89041,101.668,24,260,,fr24-main
1394210654,WMKF,,3950,2.895264,101.669808,26,262,,flightaware
1394210655,WMSA2,2157,3975,2.89769,101.671,25,261,,fr24-main
1394210663,WMSA2,2157,4375,2.90666,101.675,26,264,,fr24-main
1394210666,WMKK,,4525,2.910187,101.677117,27,265,,flightaware
1394210669,WMSA2,2157,4700,2.9144,101.679,26,265,,fr24-main
1394210674,WMKK,2157,4975,2.920349,101.682191,27,267,,flightaware
1394210676,WMSA2,2157,5000,2.92126,101.683,26,266,,fr24-main
1394210685,WMSA2,2157,,,,26,267,3072,fr24-main
1394210693,WMKF,2157,5800,2.934174,101.689081,26,270,,flightaware
1394210693,WMSA2,2157,5850,2.94003,101.692,26,269,,fr24-main
1394210703,WMKF,,6375,2.951752,101.697693,26,271,,flightaware
1394210706,WMSA2,2157,6450,2.95332,101.698,26,270,,fr24-main
1394210714,WMKF,2157,6900,2.963795,101.70347,26,273,,flightaware
1394210719,WMSA2,2157,7225,2.97043,101.707,25,273,,fr24-main
1394210731,WMSA2,2157,7675,2.98223,101.712,25,277,,fr24-main
1394210744,WMSA2,2157,8275,2.99764,101.72,25,279,,fr24-main
1394210748,WMSA2,2157,,,,25,280,3072,fr24-main
1394210754,WMKF,2157,8825,3.009659,101.725438,26,282,,flightaware
1394210757,WMSA2,2157,8900,3.01179,101.726,25,281,,fr24-main
1394210769,WMSA2,2157,9500,3.02815,101.734,25,284,,fr24-main
1394210773,WMKF,2157,9725,3.033371,101.736704,26,285,,flightaware
1394210780,WMSA2,2157,10025,3.04202,101.741,25,286,,fr24-main
1394210808,WMSA2,2157,,,,25,314,512,fr24-main
1394210811,WMSA2,2157,10625,3.07915,101.759,25,318,,fr24-main
1394210819,,2157,10775,3.0928,101.765,25,331,,planefinder
1394210825,WMKF,,10850,3.100379,101.768583,25,338,,flightaware
1394210833,WMSA,2157,10975,3.1119,101.774,26,347,,flightaware
1394210843,WMSA2,2157,11125,3.12341,101.78,25,355,,fr24-main
1394210847,WMKK,2157,11475,3.133667,101.78442,25,332,,flightaware
1394210867,WMSA2,2157,,,,25,367,2560,fr24-main
1394210878,WMSA,2157,12500,3.1807,101.8068,26,369,,flightaware
1394210878,WMSA2,2157,12350,3.17575,101.804,25,369,,fr24-main
1394210881,,2157,12600,3.1838,101.808,26,370,,planefinder
1394210903,WMKK,,13600,3.219367,101.825077,25,373,,flightaware
1394210910,WMSA2,2157,13800,3.22691,101.829,25,375,,fr24-main
1394210913,WMSA,2157,14000,3.2351,101.8325,26,376,,flightaware
1394210925,WMSA2,2157,,,,25,377,2816,fr24-main
1394210941,,2157,15225,3.2781,101.853,26,378,,planefinder
1394210942,WMSA2,2157,15275,3.28058,101.854,,,,fr24-main
1394210943,WMSA,2157,15350,3.2828,101.8554,26,378,,flightaware
1394210944,WMKF,,15400,3.2844,101.85619,26,379,,flightaware
1394210974,WMKF,2157,16475,3.330185,101.878083,26,385,,flightaware
1394210986,WMSA2,2157,,,,25,387,2304,fr24-main
1394210999,,2157,17425,3.3721,101.898,26,391,,planefinder
1394211003,WMSA2,2157,17475,3.37436,101.899,25,391,,fr24-main
1394211008,WMSA,2157,17750,3.3878,101.9058,26,394,,flightaware
1394211033,WMKF,2157,18675,3.428558,101.925287,26,396,,flightaware
1394211045,WMKF,,19125,3.441607,101.931389,25,400,,flightaware
1394211048,WMSA2,2157,,,,25,399,2432,fr24-main
1394211059,,2157,19600,3.4715,101.945,25,401,,planefinder
1394211063,WMSA,2157,19825,3.4807,101.9496,25,402,,flightaware
1394211064,WMSA2,2157,19800,3.48001,101.949,24,400,,fr24-main
1394211094,WMSA,2157,20900,3.5325,101.9736,25,408,,flightaware
1394211106,WMSA2,2157,,,,25,410,1920,fr24-main
1394211118,,2157,21625,3.5729,101.993,25,414,,planefinder
1394211126,WMSA2,2157,21875,3.58718,101.999,25,416,,fr24-main
1394211128,WMSA,2157,21950,3.5924,102.0018,26,418,,flightaware
1394211129,,2157,22000,3.5949,102.003,26,,1792,radarbox24
1394211133,WMSA,,22075,3.5994,102.0052,25,419,,flightaware
1394211159,WMSA,2157,22775,3.6466,102.0276,25,426,,flightaware
1394211168,WMSA2,2157,,,,25,426,2560,fr24-main
1394211177,,2157,23450,3.677,102.042,25,425,,planefinder
1394211185,,2157,23725,3.683,102.045,25,,2240,radarbox24
1394211188,WMSA2,2157,23850,3.69732,102.052,25,424,,fr24-main
1394211193,WMSA,2157,23975,3.7073,102.0563,25,427,,flightaware
1394211224,WMSA,2157,24775,3.763,102.0825,25,433,,flightaware
1394211227,WMSA2,2157,,,,25,434,1536,fr24-main
1394211237,,2157,25075,3.7849,102.093,25,436,,planefinder
1394211249,WMSA2,2157,25425,3.80878,102.104,25,438,,fr24-main
1394211254,WMSA,,25525,3.8169,102.1079,25,440,,flightaware
1394211255,WMSA,2157,25550,3.8187,102.1087,25,440,,flightaware
1394211257,,2157,25575,3.821,102.11,25,,1280,radarbox24
1394211284,WMSA,2157,26200,3.874,102.1346,25,448,,flightaware
1394211288,WMSA2,2157,,,,25,448,1280,fr24-main
1394211297,,2157,26450,3.8963,102.145,25,,1280,radarbox24
1394211298,,2157,26475,3.8981,102.146,25,451,,planefinder
1394211310,WMSA2,2157,26775,3.92207,102.157,25,452,,fr24-main
1394211314,WMSA,2157,26900,3.9316,102.1618,25,454,,flightaware
1394211348,WMSA,2157,27675,3.9968,102.1926,25,458,,flightaware
1394211348,WMSA2,2157,,,,25,459,1536,fr24-main
1394211357,,2157,27900,4.015,102.201,25,,1600,radarbox24
1394211360,,2157,27925,4.0169,102.202,25,461,,planefinder
1394211371,WMSA2,2157,28200,4.03972,102.213,25,461,,fr24-main
1394211388,WMSA,2157,28600,4.074,102.2289,25,465,,flightaware
1394211405,WMSA2,2157,,,,25,464,1280,fr24-main
1394211408,,2157,29025,4.1127,102.247,25,465,,planefinder
1394211423,WMSA,2157,29350,4.143,102.2615,25,469,,flightaware
1394211432,WMKC1,2157,29550,4.15912,102.269,25,470,,fr24-main
1394211454,WMSA,2157,30025,4.2042,102.2904,25,472,,flightaware
1394211462,WMSA,,30225,4.2193,102.2975,25,475,,flightaware
1394211463,,2157,30175,4.2193,102.298,25,473,,planefinder
1394211463,WMSA8,2157,,,,25,473,1280,fr24-home
1394211494,WMKP2,2157,30775,4.2768,102.325,25,476,,fr24-home
1394211522,WMKP2,2157,,,,25,481,1152,fr24-home
1394211524,,2157,31350,4.3416,102.355,25,481,,planefinder
1394211529,,2157,31350,4.3436,102.356,25,,1152,radarbox24
1394211555,WMKP2,2157,31900,4.3997,102.383,25,485,,fr24-home
1394211587,WMKP2,2157,,,,25,480,2176,fr24-home
1394211623,WMKP2,2157,34000,4.5389,102.448,25,472,,fr24-home
1394211641,,2157,34425,4.5784,102.467,25,470,,planefinder
1394211644,WMKP2,2157,,,,25,470,1536,fr24-home
1394211684,WMKP2,2157,35025,4.6595,102.505,25,467,,fr24-home
1394211703,WMKP,2157,35000,4.701462,102.525066,25,468,,flightaware
1394211704,WMKP2,2157,,,,25,467,0,fr24-home
1394211749,WMKP2,2157,35000,4.7784,102.561,,,,fr24-home
1394211757,WMKP2,2157,,,,25,468,0,fr24-home
1394211760,WMKP,2157,35000,4.707316,102.527824,25,468,,flightaware
1394211760,WMKP,,35000,4.707316,102.527824,25,469,,flightaware
1394211811,WMKC1,2157,35000,4.91203,102.625,25,469,,fr24-main
1394211824,WMKC1,2157,,,,25,468,0,fr24-main
1394211873,WMKN1,2157,35000,5.03286,102.682,25,469,,fr24-home
1394211878,WMKN1,2157,,,,25,468,0,fr24-home
1394211938,WMKN1,2157,35000,5.16255,102.743,25,467,,fr24-home
1394211944,WMKN1,2157,,,,25,468,-128,fr24-home
1394212004,WMKC1,2157,35000,5.28712,102.802,25,468,-128,fr24-main
1394212058,WMKN1,2157,,,,25,469,0,fr24-home
1394212070,WMKC1,2157,35000,5.41933,102.864,,,,fr24-main
1394212126,WMKC1,2157,,,,24,471,-128,fr24-main
1394212131,WMKC1,2157,35000,5.54037,102.922,25,470,,fr24-main
1394212185,WMKC1,2157,,,,25,471,0,fr24-main
1394212193,WMKC1,2157,35000,5.66496,102.981,,,,fr24-main
1394212246,WMKC1,2157,,,,25,472,0,fr24-main
1394212255,WMKC1,2157,35000,5.78574,103.038,,,,fr24-main
1394212305,WMKC1,2157,,,,25,472,0,fr24-main
1394212316,WMKC1,2157,35000,5.909,103.096,,,,fr24-main
1394212365,WMKC1,2157,,,,25,472,0,fr24-main
1394212378,WMKC1,2157,35000,6.03113,103.154,,,,fr24-main
1394212425,WMKC1,2157,,,,25,472,0,fr24-main
1394212439,WMKC1,2157,35000,6.15088,103.211,,,,fr24-main
1394212486,WMKC1,2157,,,,25,472,0,fr24-main
1394212501,WMKC1,2157,35000,6.27365,103.27,,,,fr24-main
1394212545,WMKC1,2157,,,,25,472,0,fr24-main
1394212562,WMKC1,2157,35000,6.39583,103.328,,,,fr24-main
1394212605,WMKC1,2157,,,,25,473,0,fr24-main
1394212624,WMKC1,2157,35000,6.5197,103.386,,,,fr24-main
1394212659,WMKC1,2157,,,,25,473,0,fr24-main
1394212719,WMKC1,2157,,,,25,473,0,fr24-main
1394212757,WMKC1,2157,35000,6.78333,103.512,,,,fr24-main
1394212768,WMKC1,2157,,,,25,474,0,fr24-main
1394212818,WMKC1,2157,35000,6.90314,103.57,28,472,,fr24-main
1394212835,WMKC1,2157,,,,40,471,0,fr24-main
1394212863,WMKC1,2157,,,,,,,fr24-main
